--- STDOUT ---
[2025-05-22 13:21:43.622130] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.622130] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.622130] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.628768] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.628768] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.628768] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.628768] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.628768] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.628768] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.638275] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.638275] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.638275] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.642092] [0x00001850] [trace]   Generating perimeters for layer 104 - Done
[2025-05-22 13:21:43.642092] [0x00001850] [trace]   Generating perimeters for layer 105
[2025-05-22 13:21:43.642092] [0x00001850] [trace]   Generating perimeters for layer 105, region 0
[2025-05-22 13:21:43.657932] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.657932] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.657932] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.657932] [0x00001dd8] [trace]   Generating perimeters for layer 207 - Done
[2025-05-22 13:21:43.657932] [0x00001dd8] [trace]   Generating perimeters for layer 208
[2025-05-22 13:21:43.657932] [0x00001dd8] [trace]   Generating perimeters for layer 208, region 0
[2025-05-22 13:21:43.657932] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.657932] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.657932] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.657932] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.657932] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.657932] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.668766] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.668766] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.668766] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.690114] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.690114] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.690114] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.692117] [0x00002db4] [trace]   Generating perimeters for layer 310 - Done
[2025-05-22 13:21:43.692117] [0x00002db4] [trace]   Generating perimeters for layer 311
[2025-05-22 13:21:43.692117] [0x00002db4] [trace]   Generating perimeters for layer 311, region 0
[2025-05-22 13:21:43.695445] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.695445] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.695445] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.695445] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.695445] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.695445] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.708781] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.708781] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.708781] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.722168] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.722168] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.722168] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.722168] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.722168] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.722168] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.735454] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.735454] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.735454] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.735454] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.735454] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.735454] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
