--- STDOUT ---
[2025-05-17 19:00:42.479711] [0x00001e08] [trace]   Generating perimeters for layer 92 - Done
[2025-05-17 19:00:42.479711] [0x00001e08] [trace]   Generating perimeters for layer 93
[2025-05-17 19:00:42.479711] [0x00001e08] [trace]   Generating perimeters for layer 93, region 0
[2025-05-17 19:00:42.482703] [0x00001768] [trace]   Generating perimeters for layer 34 - Done
[2025-05-17 19:00:42.482703] [0x00001768] [trace]   Generating perimeters for layer 35
[2025-05-17 19:00:42.482703] [0x00001768] [trace]   Generating perimeters for layer 35, region 0
[2025-05-17 19:00:42.491679] [0x00001768] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.491679] [0x00001768] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.491679] [0x00001768] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.506150] [0x00001e08] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.506150] [0x00001e08] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.506150] [0x00001e08] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.522105] [0x00001e3c] [trace]   Generating perimeters for layer 8 - Done
[2025-05-17 19:00:42.522105] [0x00001e3c] [trace]   Generating perimeters for layer 9
[2025-05-17 19:00:42.522105] [0x00001e3c] [trace]   Generating perimeters for layer 9, region 0
[2025-05-17 19:00:42.528595] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.528595] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.528595] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.553039] [0x00000200] [trace]   Generating perimeters for layer 64 - Done
[2025-05-17 19:00:42.553039] [0x00000200] [trace]   Generating perimeters for layer 65
[2025-05-17 19:00:42.553039] [0x00000200] [trace]   Generating perimeters for layer 65, region 0
[2025-05-17 19:00:42.596922] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.596922] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.596922] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.609887] [0x00001e08] [trace]   Generating perimeters for layer 93 - Done
[2025-05-17 19:00:42.609887] [0x00001e08] [trace]   Generating perimeters for layer 94
[2025-05-17 19:00:42.609887] [0x00001e08] [trace]   Generating perimeters for layer 94, region 0
[2025-05-17 19:00:42.613876] [0x00001768] [trace]   Generating perimeters for layer 35 - Done
[2025-05-17 19:00:42.613876] [0x00001768] [trace]   Generating perimeters for layer 36
[2025-05-17 19:00:42.613876] [0x00001768] [trace]   Generating perimeters for layer 36, region 0
