--- STDOUT ---
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Generating perimeters for layer 135 - Done
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Generating perimeters for layer 136
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Generating perimeters for layer 136, region 0
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Generating perimeters for layer 158 - Done
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Generating perimeters for layer 159
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Generating perimeters for layer 159, region 0
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Generating perimeters for layer 93 - Done
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Generating perimeters for layer 94
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Generating perimeters for layer 94, region 0
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Generating perimeters for layer 136 - Done
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Generating perimeters for layer 137
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Generating perimeters for layer 137, region 0
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Generating perimeters for layer 159 - Done
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Generating perimeters for layer 160
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Generating perimeters for layer 160, region 0
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Generating perimeters for layer 94 - Done
