--- STDOUT ---
[2025-05-17 19:22:09.772709] [0x00002298] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.772709] [0x00002298] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.772709] [0x00002298] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.772709] [0x00002b64] [trace]   Generating perimeters for layer 1 - Done
[2025-05-17 19:22:09.772709] [0x00002b64] [trace]   Generating perimeters for layer 2
[2025-05-17 19:22:09.772709] [0x00002b64] [trace]   Generating perimeters for layer 2, region 0
[2025-05-17 19:22:09.773706] [0x00002298] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.773706] [0x00002b64] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.773706] [0x00002298] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.773706] [0x00002b64] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.773706] [0x00002b64] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.773706] [0x00002298] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.774704] [0x0000255c] [trace]   Generating perimeters for layer 100 - Done
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.774704] [0x0000255c] [trace]   Generating perimeters for layer 101
[2025-05-17 19:22:09.774704] [0x0000255c] [trace]   Generating perimeters for layer 101, region 0
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.774704] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.774704] [0x00002298] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.774704] [0x00002298] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.774704] [0x00002298] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.774704] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.774704] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.774704] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.775701] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.775701] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.775701] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.775701] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.775701] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.775701] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
