--- STDOUT ---
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Generating perimeters for layer 91 - Done
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Generating perimeters for layer 92
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Generating perimeters for layer 92, region 0
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 133 - Done
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 134
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 134, region 0
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.340346] [0x00002a44] [trace]   Generating perimeters for layer 156, region 0
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Generating perimeters for layer 92 - Done
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Generating perimeters for layer 93
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Generating perimeters for layer 93, region 0
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 134 - Done
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 135
[2025-05-26 09:59:48.341343] [0x00001300] [trace]   Generating perimeters for layer 135, region 0
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
