--- STDOUT ---
[2025-05-17 19:10:19.014173] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.015171] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.015171] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.015171] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.016168] [0x0000299c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.016168] [0x0000299c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.016168] [0x0000299c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.017166] [0x00000bd8] [trace]   Generating perimeters for layer 98 - Done
[2025-05-17 19:10:19.017166] [0x00000bd8] [trace]   Generating perimeters for layer 99
[2025-05-17 19:10:19.017166] [0x00000bd8] [trace]   Generating perimeters for layer 99, region 0
[2025-05-17 19:10:19.017166] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.017166] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.017166] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.018164] [0x0000299c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.018164] [0x0000299c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.018164] [0x0000299c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.019160] [0x00000bd8] [trace]   Generating perimeters for layer 99 - Done
[2025-05-17 19:10:19.019160] [0x00000bd8] [trace]   Generating perimeters for layer 100
[2025-05-17 19:10:19.019160] [0x00000bd8] [trace]   Generating perimeters for layer 100, region 0
[2025-05-17 19:10:19.019160] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.019160] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.019160] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.020157] [0x00001ee8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.020157] [0x00001ee8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.020157] [0x00001ee8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.020157] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.020157] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.020157] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.020157] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.020157] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.020157] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.020157] [0x00001ee8] [trace]   Generating perimeters for layer 1 - Done
[2025-05-17 19:10:19.020157] [0x00001ee8] [trace]   Generating perimeters for layer 2
[2025-05-17 19:10:19.020157] [0x00001ee8] [trace]   Generating perimeters for layer 2, region 0
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.021155] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
