--- STDOUT ---
[2025-05-20 16:02:54.699922] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.699922] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.699922] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.715548] [0x00002068] [trace]   Generating perimeters for layer 61 - Done
[2025-05-20 16:02:54.715548] [0x00002068] [trace]   Generating perimeters for layer 62
[2025-05-20 16:02:54.715548] [0x00002068] [trace]   Generating perimeters for layer 62, region 0
[2025-05-20 16:02:54.729065] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.729065] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.729065] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.753717] [0x000013dc] [trace]   Generating perimeters for layer 90 - Done
[2025-05-20 16:02:54.753717] [0x000013dc] [trace]   Generating perimeters for layer 91
[2025-05-20 16:02:54.753717] [0x000013dc] [trace]   Generating perimeters for layer 91, region 0
[2025-05-20 16:02:54.780356] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.780356] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.780356] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.780356] [0x00001f5c] [trace]   Generating perimeters for layer 5 - Done
[2025-05-20 16:02:54.780356] [0x00001f5c] [trace]   Generating perimeters for layer 6
[2025-05-20 16:02:54.780356] [0x00001f5c] [trace]   Generating perimeters for layer 6, region 0
[2025-05-20 16:02:54.780356] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.780356] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.780356] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.795981] [0x000006e0] [trace]   Generating perimeters for layer 75 - Done
[2025-05-20 16:02:54.795981] [0x000006e0] [trace]   Generating perimeters for layer 76
[2025-05-20 16:02:54.795981] [0x000006e0] [trace]   Generating perimeters for layer 76, region 0
[2025-05-20 16:02:54.795981] [0x00002068] [trace]   Generating perimeters for layer 62 - Done
[2025-05-20 16:02:54.795981] [0x00002068] [trace]   Generating perimeters for layer 63
[2025-05-20 16:02:54.795981] [0x00002068] [trace]   Generating perimeters for layer 63, region 0
[2025-05-20 16:02:54.816116] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.816116] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.816116] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.816116] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.816116] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.816116] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.856877] [0x000013dc] [trace]   Generating perimeters for layer 91 - Done
[2025-05-20 16:02:54.856877] [0x000013dc] [trace]   Generating perimeters for layer 92
[2025-05-20 16:02:54.856877] [0x000013dc] [trace]   Generating perimeters for layer 92, region 0
[2025-05-20 16:02:54.870892] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.870892] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.870892] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.873395] [0x00001f5c] [trace]   Generating perimeters for layer 6 - Done
[2025-05-20 16:02:54.873395] [0x00001f5c] [trace]   Generating perimeters for layer 7
[2025-05-20 16:02:54.873395] [0x00001f5c] [trace]   Generating perimeters for layer 7, region 0
[2025-05-20 16:02:54.889021] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.889021] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.889021] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
